satellite,date,lon,lat,id,evi2,QA_PIXEL
LANDSAT/LT05/C02/T1_L2,2000-12-08,43.952022,-71.725558,1,,
LANDSAT/LT05/C02/T1_L2,2000-12-08,43.950917,-71.728739,2,,
LANDSAT/LT05/C02/T1_L2,2000-12-08,43.958947,-71.731661,3,,
LANDSAT/LT05/C02/T1_L2,2000-12-08,43.949128,-71.731831,4,,
LANDSAT/LT05/C02/T1_L2,2000-12-08,43.9574,-71.736869,5,,
LANDSAT/LT05/C02/T1_L2,2000-12-08,43.955547,-71.742178,6,,
LANDSAT/LT05/C02/T1_L2,2000-12-08,43.928928,-71.765647,7,,
LANDSAT/LT05/C02/T1_L2,2000-12-08,43.918358,-71.769733,8,,
LANDSAT/LT05/C02/T1_L2,2000-12-24,43.945733,-71.700975,0,,
LANDSAT/LT05/C02/T1_L2,2000-12-24,43.952022,-71.725558,1,,
LANDSAT/LT05/C02/T1_L2,2000-12-24,43.950917,-71.728739,2,,
LANDSAT/LT05/C02/T1_L2,2000-12-24,43.958947,-71.731661,3,,
LANDSAT/LT05/C02/T1_L2,2000-12-24,43.949128,-71.731831,4,,
LANDSAT/LT05/C02/T1_L2,2000-12-24,43.9574,-71.736869,5,,
LANDSAT/LT05/C02/T1_L2,2000-12-24,43.955547,-71.742178,6,,
LANDSAT/LT05/C02/T1_L2,2000-12-24,43.928928,-71.765647,7,,
LANDSAT/LT05/C02/T1_L2,2000-12-24,43.918358,-71.769733,8,,
LANDSAT/LT05/C02/T1_L2,2001-01-25,43.945733,-71.700975,0,,
LANDSAT/LT05/C02/T1_L2,2001-01-25,43.952022,-71.725558,1,,
LANDSAT/LT05/C02/T1_L2,2001-01-25,43.950917,-71.728739,2,,
LANDSAT/LT05/C02/T1_L2,2001-01-25,43.958947,-71.731661,3,,
LANDSAT/LT05/C02/T1_L2,2001-01-25,43.949128,-71.731831,4,,
LANDSAT/LT05/C02/T1_L2,2001-01-25,43.9574,-71.736869,5,,
LANDSAT/LT05/C02/T1_L2,2001-01-25,43.955547,-71.742178,6,,
LANDSAT/LT05/C02/T1_L2,2001-01-25,43.928928,-71.765647,7,,
LANDSAT/LT05/C02/T1_L2,2001-01-25,43.918358,-71.769733,8,,
LANDSAT/LT05/C02/T1_L2,2001-11-25,43.945733,-71.700975,0,,
LANDSAT/LT05/C02/T1_L2,2001-11-25,43.952022,-71.725558,1,,
LANDSAT/LT05/C02/T1_L2,2001-11-25,43.950917,-71.728739,2,,
LANDSAT/LT05/C02/T1_L2,2001-11-25,43.958947,-71.731661,3,,
LANDSAT/LT05/C02/T1_L2,2001-11-25,43.949128,-71.731831,4,,
LANDSAT/LT05/C02/T1_L2,2001-11-25,43.9574,-71.736869,5,,
LANDSAT/LT05/C02/T1_L2,2001-11-25,43.955547,-71.742178,6,,
LANDSAT/LT05/C02/T1_L2,2001-11-25,43.928928,-71.765647,7,,
LANDSAT/LT05/C02/T1_L2,2001-11-25,43.918358,-71.769733,8,,
LANDSAT/LT05/C02/T1_L2,2002-01-12,43.945733,-71.700975,0,,
LANDSAT/LT05/C02/T1_L2,2002-01-12,43.952022,-71.725558,1,,
LANDSAT/LT05/C02/T1_L2,2002-01-12,43.950917,-71.728739,2,,
LANDSAT/LT05/C02/T1_L2,2002-01-12,43.958947,-71.731661,3,,
LANDSAT/LT05/C02/T1_L2,2002-01-12,43.949128,-71.731831,4,,
LANDSAT/LT05/C02/T1_L2,2002-01-12,43.9574,-71.736869,5,,
LANDSAT/LT05/C02/T1_L2,2002-01-12,43.955547,-71.742178,6,,
LANDSAT/LT05/C02/T1_L2,2002-01-12,43.928928,-71.765647,7,,
LANDSAT/LT05/C02/T1_L2,2002-01-12,43.918358,-71.769733,8,,
LANDSAT/LT05/C02/T1_L2,1984-06-03,43.945733,-71.700975,0,,
LANDSAT/LT05/C02/T1_L2,1984-06-03,43.952022,-71.725558,1,,
LANDSAT/LT05/C02/T1_L2,1984-06-03,43.950917,-71.728739,2,,
LANDSAT/LT05/C02/T1_L2,1984-06-03,43.958947,-71.731661,3,,
LANDSAT/LT05/C02/T1_L2,1984-06-03,43.949128,-71.731831,4,,
LANDSAT/LT05/C02/T1_L2,1984-06-03,43.9574,-71.736869,5,,
LANDSAT/LT05/C02/T1_L2,1984-06-03,43.955547,-71.742178,6,,
LANDSAT/LT05/C02/T1_L2,1984-06-03,43.928928,-71.765647,7,,
LANDSAT/LT05/C02/T1_L2,1984-06-03,43.918358,-71.769733,8,-0.38100229349561265,5440
LANDSAT/LT05/C02/T1_L2,1984-06-19,43.945733,-71.700975,0,,
LANDSAT/LT05/C02/T1_L2,1984-06-19,43.952022,-71.725558,1,-0.5463307521403691,5440
LANDSAT/LT05/C02/T1_L2,1984-06-19,43.950917,-71.728739,2,-0.583461606374271,5440
LANDSAT/LT05/C02/T1_L2,1984-06-19,43.958947,-71.731661,3,-0.4953570498070353,5440
LANDSAT/LT05/C02/T1_L2,1984-06-19,43.949128,-71.731831,4,-0.43926345630420643,5440
LANDSAT/LT05/C02/T1_L2,1984-06-19,43.9574,-71.736869,5,-0.2982700977177282,5440
LANDSAT/LT05/C02/T1_L2,1984-06-19,43.955547,-71.742178,6,-0.5514696008350826,5440
LANDSAT/LT05/C02/T1_L2,1984-06-19,43.928928,-71.765647,7,,
LANDSAT/LT05/C02/T1_L2,1984-06-19,43.918358,-71.769733,8,,
LANDSAT/LT05/C02/T1_L2,1984-09-23,43.945733,-71.700975,0,-0.40071883832083827,5440
LANDSAT/LT05/C02/T1_L2,1984-09-23,43.952022,-71.725558,1,-0.4373777775791299,5440
LANDSAT/LT05/C02/T1_L2,1984-09-23,43.950917,-71.728739,2,-0.4813393327437063,5440
LANDSAT/LT05/C02/T1_L2,1984-09-23,43.958947,-71.731661,3,-0.2864111535791402,5440
